Date,Amount,Label,Sector,Key,Display
Jan-19,733098,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Feb-19,732808,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Mar-19,786258,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Apr-19,799088,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
May-19,981093,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Jun-19,1069237,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Jul-19,1071811,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Aug-19,1115990,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Sep-19,1045882,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Oct-19,1032604,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Nov-19,927841,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Dec-19,1022923,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Jan-20,817470,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Feb-20,765528,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Mar-20,745728,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Apr-20,764058,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
May-20,921852,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Jun-20,1007272,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Jul-20,1079029,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Aug-20,1058600,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Sep-20,1071208,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Oct-20,1042351,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Nov-20,926930,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Dec-20,1044747,Agriculture forestry fishing and hunting,Goods-producing sector,Agriculture,FALSE
Jan-19,2411243,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Feb-19,2521050,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Mar-19,2535927,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Apr-19,2503224,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
May-19,2491752,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Jun-19,2512676,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Jul-19,2388847,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Aug-19,2357022,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Sep-19,2318821,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Oct-19,2385269,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Nov-19,2415760,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Dec-19,2495575,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Jan-20,2552876,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Feb-20,2556984,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Mar-20,2558909,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Apr-20,2385407,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
May-20,2238799,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Jun-20,2240369,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Jul-20,2161694,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Aug-20,2140990,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Sep-20,2183211,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Oct-20,2156852,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Nov-20,2215340,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
Dec-20,2274463,Mining and oil and gas extraction,Goods-producing sector,Mining oil and gas,FALSE
