date, provence,  Y1_Income, Y2_Income, CPI(2019), CPI(2020)
1,all,27.26,28.46,133.6,136.8
2,all,27.44,28.59,134.5,137.4
3,all,27.52,29.27,135.4,136.6
4,all,27.60,30.62,136.0,135.7
5,all,27.57,30.44,136.6,136.1
6,all,27.74,29.73,136.3,137.2
7,all,27.71,29.45,137.0,137.2
8,all,27.57,29.34,136.8,137.0
9,all,28.06,29.59,136.2,136.9
10,all,28.14,29.66,136.6,137.5
11,all,28.22,29.60,136.4,137.7
12,all,28.14,29.69,136.4,137.4																															
1,BC,27.00,28.84,129.1,132.1						
2,BC,26.98,29.13,129.8,132.9
3,BC,27.04,29.6,130.7,132.3
4,BC,27.01,30.94,131.2,131.2
5,BC,27.43,30.62,131.8,131.5
6,BC,27.44,29.81,131.9,132.6
7,BC,27.6,28.85,132.4,132.6
8,BC,27.53,29.8,132.2,132.4
9,BC,28.1,29.88,132.0,132.5
10,BC,28.32,29.9,132.2,132.9
11,BC,28.5,30.02,131.8,133.3
12,BC,28.5,30.06,131.7,132.8																	
1,AL,31.12,31.68,140.5,144.7							
2,AL,31.11,31.85,142.0,145.5
3,AL,31.39,32.71,143.1,144.1
4,AL,31.44,34.21,143.7,143.0
5,AL,31.12,33.87,144.0,144.1
6,AL,31.27,33.21,142.7,145.0
7,AL,31.08,32.77,143.6,144.9
8,AL,31.10,32.57,143.4,144.2
9,AL,31.26,32.58,142.9,145.0
10,AL,31.33,32.26,143.6,145.0
11,AL,31.35,32.78,143.6,145.4
12,AL,31.34,32.73,143.7,144.8																						
1,SA,27.60,28.09,137.4,140.6						
2,SA,28.02,28.28,138.5,141.2
3,SA,27.83,28.92,139.2,140.0
4,SA,27.74,30.24,140.6,138.7
5,SA,27.58,29.78,140.8,139.9
6,SA,27.32,29.45,140.2,141.2
7,SA,26.88,29.19,140.7,141.4	
8,SA,26.89,29.06,140.7,140.8
9,SA,27.67,29.14,139.7,140.8	
10,SA,27.79,29.23,140.9,141.6
11,SA,27.62,29.19,140.5,141.6	
12,SA,27.68,29.27,139.6,140.9																		
1,Ma,24.74,25.49,134.1,137.5		
2,Ma,24.79,25.50,135.2,138.3
3,Ma,24.83,26.11,136.1,137.4
4,Ma,25.18,27.47,137.1,136.3
5,Ma,25.08,26.74,137.5,136.8
